ExpHydro,ExpDeficit2,WcFlood,ExpRecovery,StdHydro
-50.20897721,62.1082289,0.173163787,6.324115188,7.353325799
-55.21184217,51.57928326,1.935724503,3.836252065,7.227878256
-54.54927268,59.79611147,1.878583629,3.96868789,6.997491526
-52.00466773,130.4683275,0.18747341,6.254689466,6.844273039
-51.45631293,96.51770613,0.134062073,6.515937157,6.803022491
-50.42634646,156.1513978,0.024796506,6.739032937,6.494418389
-52.20333021,84.39661809,0.341141847,5.853887626,7.316036453
-52.58782878,92.45154863,0.279046553,6.405301335,7.043013268
-50.34452231,156.8563959,0.104444664,5.995983081,7.194816408
-49.98227922,69.83379551,0.08873333,8.606850036,4.716193223
-53.1928552,56.4801168,0.480262892,6.858949603,5.662973603
-55.12972665,107.0726682,0.795702331,5.955610317,6.891227813
-56.0385475,95.97062417,0.967519756,5.574728571,7.158311564
-49.88924577,59.55976925,0.119520023,7.97776039,4.854368284
-54.19717128,980.1481268,0.778506132,4.865897511,7.347568264
-45.74964273,352.6964569,0.497791143,4.930342496,6.342107966
-49.99224945,105.1369898,0.294260037,5.952451732,6.791569441
-51.00503365,74.3099869,0.244484886,6.915696825,5.937740649
-46.12198063,139.9060401,0.19432402,5.798681274,5.686908966
-44.79398799,136.2635162,0.080384834,5.805750541,5.438138974
-55.10749982,74.14082565,1.897223454,3.936475852,7.92440162
-58.06804585,40.0019657,1.907565357,4.763254473,7.443620689
-57.0529918,33.34641408,1.922205588,4.96577735,6.671305478
-51.13148096,64.26554324,0.139690902,8.437819481,5.609509346
-59.05503895,41.89539746,1.943793895,5.334014652,7.3081221
-52.50729397,91.94203598,0.842466838,4.974706349,6.179413881
-50.38740533,49.24670142,0.375950629,6.836701587,5.890414173
-49.62838322,46.52747707,0.229653278,7.732503175,6.284196682
-49.04776342,48.62377957,0.135936783,8.18097803,6.149009301
-55.64501887,42.34068014,0.895383683,5.907068254,6.910664476
-56.17746783,38.17490562,1.396545922,4.914931097,6.583451643
-51.82884461,43.08381319,0.479839047,6.706539899,5.603631047
-56.05772905,35.06531627,1.094788942,5.389207251,6.692327957
-55.71156837,49.11631987,1.069634956,4.974445238,6.661087613
-51.29633503,41.05017016,0.706919464,5.947101465,6.531299897
-48.87119177,81.13472755,0.072538517,6.480834812,5.957288164
-50.84173001,48.6250608,0.464927857,5.827150397,6.568158006
-54.90759237,58.38944393,0.940258129,4.987580159,6.819110897
-51.74176509,39.99079631,0.643704651,6.088932937,6.239658535
-48.57120438,57.50353236,0.143746794,6.611855952,6.174790024
-56.1772759,48.55743171,2.076921913,3.973669253,7.305443739
-53.70601032,55.04458755,0.349655307,7.243973413,6.577122952
-52.03392567,70.52707422,0.194952093,7.301541053,6.462359553
-52.80646606,64.45181761,0.275029352,7.315772222,6.81646542
-57.87987012,41.14598718,1.871140801,4.952270996,7.455440495
-57.36126153,22.15291461,2.136433825,4.629789646,7.040623238
-57.10582161,229.37166,0.992837861,6.120832143,6.824214803
-58.52154408,54.4382641,1.454336777,5.250289683,7.393168141
-57.18306676,163.4945706,1.058263531,6.013513095,6.889734468
-57.78175743,50.54259705,1.779499203,4.925229762,6.866385952
-58.39756684,49.87220648,1.595813578,5.577480916,7.016608652
-58.28757278,84.8532796,1.898774941,4.957146279,7.583186852
-59.02756713,39.83830155,2.089370751,6.459011794,6.822150786
-45.09529454,218.972503,0.043938037,5.905288763,4.689164221
-43.91563472,249.397491,0.399173506,4.970454802,5.215454648
-42.7973525,417.4500827,0.048499014,4.988877371,5.318772631
-43.54022047,213.5228724,0.437389112,4.971148236,5.074358147
-43.77424744,270.5249331,0.250926623,4.904891143,5.313488768
-53.08456355,30.92425382,0.580050387,7.318820238,5.164974295
-55.00629998,28.68965383,1.172614041,6.388280159,5.493203619
-52.40995663,45.76186681,0.38973605,7.627878139,5.582376523
-53.52215203,208.0373588,0.130708589,9.222536111,6.902313964
-53.36124859,175.1519432,0.201033442,8.106919444,7.519798267
-53.08169195,730.8385512,0.042928007,7.813259524,7.66540836
-50.39696267,80.85777144,0.68596544,4.887242729,5.418620591
-53.10037837,81.02555684,1.692944208,3.851024281,5.813644554
-52.95570758,72.36028518,1.749213684,3.83860194,5.738468033
-57.17160307,39.7766843,1.594894314,5.46744044,6.378780722
-49.24745314,94.41604021,0.028807466,6.781425253,5.969947453
-56.00584384,123.3849439,1.12863116,4.974056926,7.682897676
-51.14062023,74.99122997,0.098339677,7.867498016,6.093224666
-48.53153111,119.0850167,1.28660471,3.801432197,6.656551744
-56.02632845,216.0399437,1.989924762,3.818174856,7.918594763
-54.06110899,84.75005149,0.466466614,7.049343651,6.142126163
-54.18051691,77.62055725,0.56087247,5.979950613,7.016573572
-58.2447276,26.872633,1.904686597,5.964307226,6.494582104
-56.15904538,199.6464489,0.888058133,5.797634632,6.650021156
-55.23910077,49.02298916,0.523606383,6.969119048,6.198220659
-56.07928551,46.10573841,0.806593162,6.787386977,6.484729328
-58.14687849,28.4441393,1.833767435,6.135500216,6.44209637
-57.00247321,45.78282364,1.110453405,5.990498882,7.047551254
-53.75724949,64.06600127,0.383027778,6.910332504,6.470513352
-53.12315878,100.2296018,0.344956378,5.805406313,7.068534566
-53.43637598,119.3863434,0.786790033,4.860858261,7.456400665
-55.11141139,411.3555631,0.595339516,5.895352381,6.780361995
-58.03787727,35.93530355,1.655963708,5.533956349,6.802277143
-57.23277017,24.49993327,1.496110743,7.079798773,5.931140178
-56.01179542,39.2449045,0.973341434,6.351083947,6.139431791
-53.86875807,64.56958195,0.587455536,5.859126587,6.716274196
-51.879034,54.080804,0.214688233,8.489366486,5.537061904
-57.62983145,62.71769503,1.692430449,4.929184921,7.303804503
-54.26922603,111.4042466,0.459522494,6.695884524,6.362248482
-51.65955981,160.7669012,0.095770037,6.65282233,6.960876567
-52.04913772,119.1389175,0.013954093,7.855760498,6.693235351
-54.73505868,58.66977878,0.625444755,5.778450397,6.721246998
-56.83145763,24.85287998,1.323030001,7.200087879,5.823351392
-57.50041268,23.92829247,1.55730757,6.938309524,6.012993905
-5.91E+01,5.02E+01,2.10E+00,5.50E+00,6.87E+00
-3.25E+01,8.91E+02,9.01E-02,8.32E+00,2.91E+00
-5.74E+01,2.22E+01,2.14E+00,4.63E+00,7.04E+00
-3.93E+01,2.25E+03,1.37E+00,1.84E+01,2.49E+00
-5.16E+01,8.53E+01,2.05E+00,3.34E+00,6.63E+00
-3.91E+01,1.90E+03,1.48E+00,2.39E+01,2.47E+00
-5.02E+01,9.74E+01,0.00E+00,7.46E+00,6.98E+00
-5.48E+01,8.78E+01,2.15E+00,3.84E+00,6.45E+00
-3.87E+01,1.99E+03,1.85E+00,2.22E+01,2.44E+00
-5.45E+01,7.00E+01,1.84E+00,3.85E+00,8.44E+00
